angle_right_shoulder_hip_knee,angle_right_hip_knee_ankle,angle_left_shoulder_hip_knee,angle_left_hip_knee_ankle,angle_right_elbow_shoulder_hip,angle_left_elbow_shoulder_hip,angle_right_wrist_elbow_shoulder,angle_left_wrist_elbow_shoulder,ndright_shoulder,aright_shoulder,ndright_elbow,aright_elbow,ndright_wrist,aright_wrist,ndright_hip,aright_hip,ndright_knee,aright_knee,ndright_ankle,aright_ankle,ndleft_shoulder,aleft_shoulder,ndleft_elbow,aleft_elbow,ndleft_wrist,aleft_wrist,ndleft_hip,aleft_hip,ndleft_knee,aleft_knee,ndleft_ankle,aleft_ankle,pose
215.1,25.6,178.3,179.0,13.2,19.4,42.7,41.7,0.0,119.8,0.19,109.3,0.09,93.1,0.38,96.5,0.61,104.2,0.49,93.4,0.0,63.1,0.18,70.8,0.09,86.4,0.39,87.2,0.7,90.3,1.0,91.4,1.0
181.6,180.3,145.3,25.0,19.0,12.4,38.2,42.8,0.01,118.1,0.2,109.7,0.09,94.1,0.39,93.5,0.71,90.1,1.0,88.7,0.0,60.7,0.19,71.6,0.1,85.5,0.38,83.8,0.62,75.8,0.5,86.7,1.0
229.2,64.2,177.0,179.1,22.0,24.6,54.4,53.2,0.0,118.0,0.19,113.6,0.13,95.5,0.38,97.3,0.58,108.8,0.61,94.5,0.01,61.4,0.2,68.0,0.12,87.1,0.4,87.3,0.71,90.3,1.0,91.6,1.0
184.0,180.4,132.3,292.4,25.0,20.0,48.9,55.0,0.0,119.0,0.21,112.3,0.12,94.7,0.38,93.2,0.73,90.1,1.0,89.0,0.0,63.3,0.19,68.6,0.13,85.5,0.37,83.6,0.59,72.2,0.63,86.5,1.0
242.1,26.0,173.4,186.4,18.2,26.4,33.1,30.1,0.01,131.6,0.19,117.7,0.0,94.9,0.39,99.7,0.63,115.9,0.51,94.9,0.01,50.4,0.22,62.7,0.02,83.5,0.4,85.6,0.7,88.3,1.0,91.3,1.0
187.2,172.1,120.8,28.7,22.3,20.1,31.3,32.7,0.02,131.5,0.22,116.4,0.02,98.0,0.39,95.8,0.71,92.4,1.0,89.1,0.0,50.2,0.19,62.9,0.01,85.7,0.36,81.1,0.61,64.9,0.51,86.5,1.0
181.7,175.8,126.5,296.4,179.7,176.9,158.6,199.0,0.01,123.0,0.03,234.9,0.18,264.2,0.41,92.0,0.71,89.9,1.0,87.8,0.0,55.3,0.03,299.3,0.18,273.2,0.39,82.5,0.51,71.4,0.56,86.2,1.0
232.7,67.3,180.1,181.6,184.0,180.4,164.1,199.8,0.0,118.7,0.01,240.6,0.16,266.0,0.4,97.1,0.51,107.2,0.57,93.0,0.0,53.0,0.03,306.1,0.18,276.3,0.42,87.2,0.71,90.0,1.0,91.7,1.0
181.7,178.6,139.5,46.9,168.0,186.8,180.8,181.3,0.01,123.6,0.01,251.6,0.18,266.6,0.4,93.0,0.72,90.5,1.0,89.2,0.0,60.4,0.01,286.2,0.18,272.1,0.39,84.8,0.58,74.3,0.55,87.6,1.0
223.3,48.2,177.3,181.0,173.7,191.4,180.7,184.0,0.02,113.3,0.0,253.4,0.17,267.3,0.4,94.8,0.57,105.2,0.55,92.0,0.02,58.3,0.01,294.0,0.18,272.2,0.41,87.6,0.72,89.6,1.0,90.7,1.0
176.1,184.2,112.7,338.0,170.2,177.4,148.8,207.9,0.04,126.1,0.0,215.3,0.13,266.4,0.45,90.9,0.7,85.6,1.0,83.5,0.06,42.5,0.02,336.0,0.12,280.5,0.4,72.2,0.75,49.0,0.6,67.0,1.0
251.0,15.1,197.3,161.7,174.7,184.0,153.7,216.9,0.08,143.8,0.04,203.9,0.13,258.2,0.42,107.1,0.73,128.7,0.53,106.1,0.02,58.9,0.0,319.8,0.12,270.6,0.47,89.5,0.69,96.9,1.0,97.4,1.0
181.3,180.8,145.4,23.6,19.0,12.2,38.3,43.3,0.01,118.0,0.2,109.6,0.09,93.7,0.39,93.5,0.7,90.0,1.0,88.7,0.0,60.5,0.19,71.6,0.1,85.7,0.38,83.7,0.62,75.8,0.49,86.6,1.0
215.2,25.3,178.4,178.7,13.1,19.5,42.9,41.9,0.0,119.7,0.19,109.2,0.09,93.2,0.38,96.5,0.61,104.2,0.49,93.4,0.0,62.9,0.18,70.6,0.09,86.1,0.39,87.2,0.71,90.3,1.0,91.3,1.0
183.9,180.3,132.0,292.8,25.0,19.9,49.2,55.4,0.0,118.9,0.21,112.3,0.12,94.6,0.38,93.2,0.73,90.1,1.0,89.0,0.0,63.4,0.19,68.6,0.13,85.4,0.37,83.6,0.59,72.1,0.63,86.6,1.0
229.2,64.2,176.8,179.2,22.1,24.7,54.3,53.7,0.0,117.9,0.19,113.6,0.13,95.5,0.38,97.2,0.58,108.7,0.61,94.4,0.01,61.2,0.2,67.9,0.12,86.9,0.4,87.3,0.71,90.3,1.0,91.5,1.0
187.1,172.2,120.8,28.9,22.3,20.2,31.1,32.6,0.02,131.3,0.22,116.4,0.01,98.1,0.39,95.9,0.71,92.5,1.0,89.1,0.0,50.2,0.19,62.9,0.01,85.7,0.36,81.1,0.61,64.9,0.5,86.5,1.0
242.1,25.9,173.5,186.3,18.1,26.6,33.4,30.3,0.01,131.7,0.19,117.7,0.0,95.0,0.39,99.8,0.63,116.0,0.51,94.9,0.01,50.6,0.22,62.7,0.02,83.5,0.4,85.6,0.7,88.4,1.0,91.3,1.0
244.6,23.4,176.6,181.2,36.6,44.5,27.8,33.9,0.0,115.9,0.18,119.4,0.06,100.9,0.34,96.9,0.56,116.6,0.46,95.0,0.01,54.1,0.2,53.6,0.06,78.0,0.36,82.7,0.69,87.0,1.0,89.2,1.0
184.6,178.7,114.9,23.5,47.5,33.5,28.9,27.9,0.02,124.9,0.2,127.0,0.06,102.2,0.36,96.7,0.69,92.8,1.0,90.7,0.0,61.1,0.19,60.5,0.06,80.2,0.34,82.5,0.57,62.8,0.46,84.8,1.0
243.9,24.1,175.5,181.6,35.9,44.7,24.4,29.7,0.0,115.3,0.18,118.8,0.05,102.0,0.34,97.0,0.56,116.4,0.46,94.8,0.01,54.6,0.19,54.0,0.05,76.3,0.35,83.1,0.69,87.0,1.0,89.2,1.0
186.1,178.3,115.2,23.3,47.7,33.2,27.0,25.7,0.02,124.7,0.19,126.5,0.05,103.1,0.36,96.4,0.69,92.9,1.0,90.9,0.0,62.9,0.18,61.3,0.05,80.1,0.34,82.7,0.56,63.0,0.46,85.5,1.0
242.6,22.8,176.0,181.2,36.5,43.5,22.2,30.5,0.0,115.8,0.17,119.6,0.04,101.5,0.33,97.2,0.57,116.4,0.46,95.5,0.01,53.4,0.18,53.9,0.04,77.3,0.36,83.0,0.68,87.1,1.0,89.2,1.0
185.1,179.9,116.0,23.7,46.2,33.0,25.1,23.9,0.02,123.7,0.19,125.4,0.04,102.2,0.36,96.3,0.69,92.6,1.0,91.0,0.0,62.2,0.18,61.0,0.04,79.4,0.34,82.5,0.57,62.9,0.47,85.2,1.0
241.0,22.1,175.4,181.1,33.6,41.5,18.3,31.2,0.0,114.0,0.18,117.8,0.03,101.2,0.34,97.1,0.57,116.0,0.45,95.4,0.02,53.4,0.18,54.9,0.04,79.4,0.36,83.0,0.69,87.0,1.0,89.0,1.0
183.4,181.2,116.2,26.0,42.9,31.2,27.5,20.5,0.02,123.9,0.17,124.4,0.03,100.3,0.36,96.6,0.69,92.5,1.0,91.0,0.0,61.8,0.19,62.0,0.03,77.9,0.34,82.6,0.58,63.1,0.48,85.6,1.0
242.6,22.5,176.4,180.3,32.9,41.7,19.0,32.5,0.0,114.9,0.18,117.6,0.03,101.1,0.34,96.8,0.57,116.1,0.46,95.3,0.01,53.2,0.17,54.4,0.04,78.1,0.36,83.0,0.68,87.1,1.0,89.1,1.0
182.8,181.8,115.0,23.5,39.3,32.3,30.6,17.1,0.01,124.3,0.16,123.3,0.02,96.8,0.36,96.6,0.69,92.4,1.0,91.1,0.0,62.1,0.19,61.7,0.03,75.7,0.34,82.9,0.57,63.1,0.47,85.4,1.0
241.7,22.7,175.9,179.9,31.3,37.5,17.6,35.9,0.0,114.2,0.18,116.7,0.03,101.5,0.34,97.1,0.57,116.0,0.46,95.2,0.01,52.5,0.15,55.9,0.03,80.3,0.36,83.2,0.69,87.1,1.0,88.9,1.0
184.1,180.6,117.3,25.7,38.3,30.8,36.1,19.0,0.01,125.5,0.15,123.4,0.03,96.3,0.36,96.3,0.69,92.5,1.0,91.0,0.0,63.8,0.19,62.8,0.05,76.3,0.35,82.9,0.57,64.2,0.47,85.6,1.0
241.1,22.8,174.8,180.2,27.9,32.9,17.5,37.3,0.0,114.9,0.19,115.7,0.04,103.2,0.35,97.3,0.58,115.9,0.47,95.2,0.01,52.4,0.16,58.2,0.03,83.5,0.36,83.6,0.69,87.3,1.0,89.0,1.0
